Time,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
00:00:00,231.05,231.05,231.05,231.05,0.21640338,50.000000949,231.05
00:01:00,231.15,231.49,231.15,231.49,0.37458873,86.639999789,231.29366383
00:02:00,231.24,231.24,231.24,231.24,0.05,11.562,231.24
00:03:00,231.28,232.0,231.12,232.0,93.15451057,21595.979958,231.82967552
00:04:00,232.01,232.04,232.0,232.0,11.97365908,2777.961845,232.00609157
00:05:00,232.01,232.02,232.0,232.02,21.26094541,4932.8593946,232.01505387
00:06:00,232.07,232.08,232.05,232.05,2.03582423,472.4439873,232.06521483
00:07:00,232.03,232.03,232.03,232.03,0.2657125,61.653271375,232.03
00:08:00,232.06,232.56,232.06,232.56,25.21559158,5862.5297909,232.49622252
00:09:00,232.12,232.98,232.12,232.98,214.56705877,49962.58647,232.85301461
00:10:00,232.34,232.75,232.34,232.75,3.38613016,787.91880117,232.69005146
00:11:00,232.51,232.75,232.51,232.75,0.25505779,59.313045507,232.54747681
00:12:00,232.52,232.52,232.23,232.23,0.26510928,61.628709786,232.46530557
00:13:00,232.33,232.43,232.3,232.3,14.25352285,3311.6670901,232.34025195
00:14:00,,,,,,,
00:15:00,232.28,232.28,232.28,232.28,0.13298307,30.8893075,232.28
00:16:00,232.29,232.29,232.28,232.28,2.87322481,667.41265887,232.28696082
00:17:00,232.25,232.25,232.25,232.25,0.05,11.6125,232.25
00:18:00,232.34,232.34,232.34,232.34,0.025,5.8085,232.34
00:19:00,,,,,,,
00:20:00,232.35,232.35,232.34,232.34,10.0,2323.4250776,232.34250776
00:21:00,,,,,,,
00:22:00,232.2,232.26,232.2,232.26,1.323216,307.2537552,232.2022672
00:23:00,,,,,,,
00:24:00,,,,,,,
00:25:00,,,,,,,
00:26:00,232.44,232.44,232.44,232.44,0.21510928,50.000001043,232.44
00:27:00,232.57,232.8,232.57,232.8,20.11657482,4682.9826103,232.79224481
00:28:00,232.81,232.95,232.81,232.95,10.79519455,2513.4654688,232.83188248
00:29:00,232.83,232.97,232.83,232.97,1.85292477,431.63681881,232.94891719
00:30:00,,,,,,,
00:31:00,,,,,,,
00:32:00,232.79,232.79,232.79,232.79,0.05,11.6395,232.79
00:33:00,232.79,232.79,232.79,232.79,8.19358363,1907.3843332,232.79
00:34:00,,,,,,,
00:35:00,,,,,,,
00:36:00,232.76,232.76,232.76,232.76,0.87296158,203.19053736,232.76
00:37:00,,,,,,,
00:38:00,232.78,232.79,231.88,231.88,120.05,27859.829511,232.06855069
00:39:00,232.56,232.56,232.56,232.56,0.045,10.4652,232.56
00:40:00,232.58,232.58,232.55,232.55,3.94603311,917.73169971,232.57070433
00:41:00,,,,,,,
00:42:00,,,,,,,
00:43:00,,,,,,,
00:44:00,232.45,232.45,232.45,232.45,0.05,11.6225,232.45
00:45:00,232.45,232.55,232.43,232.55,6.33891624,1473.4016418,232.43746817
00:46:00,232.36,232.36,230.98,232.31,106.0,24527.625295,231.39269146
00:47:00,232.08,232.08,232.08,232.08,0.21535943,49.980616514,232.08
00:48:00,231.95,232.04,231.95,232.04,0.21548009,49.995500084,232.0191164
00:49:00,231.16,231.16,231.16,231.16,0.32,73.9712,231.16
00:50:00,,,,,,,
00:51:00,,,,,,,
00:52:00,231.96,232.37,231.96,232.37,2.05,476.29708347,232.34004072
00:53:00,,,,,,,
00:54:00,232.07,232.31,232.07,232.31,0.43102965,100.08070599,232.18984121
00:55:00,232.53,232.55,232.53,232.55,1.39171227,323.6371362,232.54601054
00:56:00,232.56,232.56,230.81,230.81,125.2629,28975.623411,231.31847827
00:57:00,232.25,232.25,231.22,231.22,62.0,14340.045919,231.29106321
00:58:00,231.95,231.95,231.95,231.95,0.05,11.5975,231.95
00:59:00,232.07,232.07,231.16,231.16,45.0,10412.040016,231.37866703
01:00:00,231.92,231.92,230.98,230.98,62.90191448,14539.14889,231.14000599
01:01:00,231.8,231.8,230.98,230.98,28.0,6471.1260866,231.11164595
