Time,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
00:00:00,447.11,447.11,446.65,446.65,33.76465,15081.456939,446.66409808
00:01:00,447.0,447.0,446.25,446.6,140.98311692,62954.431973,446.53880087
00:02:00,446.6,446.6,446.25,446.3,21.6274713,9652.0433676,446.28626406
00:03:00,446.25,449.14,446.25,446.25,31.18715869,13917.54982,446.25898623
00:04:00,449.14,449.14,449.14,449.14,0.06426593,28.8643998,449.14
00:05:00,,,,,,,
00:06:00,,,,,,,
00:07:00,449.14,449.14,449.14,449.14,0.56710022,254.70739281,449.14
00:08:00,447.05,447.05,447.05,447.05,0.368,164.5144,447.05
00:09:00,447.05,447.05,447.05,447.05,0.4,178.82,447.05
00:10:00,447.05,447.05,446.89,447.05,1.70826321,763.50174592,446.94619743
00:11:00,447.05,447.05,447.05,447.05,0.107,47.83435,447.05
00:12:00,447.05,447.05,447.05,447.05,1.21471192,543.03696384,447.05
00:13:00,447.05,447.05,447.05,447.05,0.036,16.0938,447.05
00:14:00,447.05,447.05,447.05,447.05,0.2,89.41,447.05
00:15:00,447.05,447.05,447.05,447.05,0.13416012,59.976281646,447.05
00:16:00,,,,,,,
00:17:00,446.4,446.96,446.29,446.29,0.45872728,204.76527747,446.37693548
00:18:00,446.29,447.05,446.24,446.24,4.88349864,2179.8877829,446.37829221
00:19:00,447.05,447.05,447.05,447.05,0.07,31.2935,447.05
00:20:00,,,,,,,
00:21:00,448.32,448.32,446.24,446.24,5.58924609,2495.8094257,446.5377594
00:22:00,,,,,,,
00:23:00,,,,,,,
00:24:00,449.21,449.6,449.21,449.6,0.36,161.76528,449.348
00:25:00,,,,,,,
00:26:00,449.21,450.99,449.21,450.99,17.45,7864.8357827,450.70692165
00:27:00,447.48,447.48,447.35,447.35,1.76,787.35693,447.36189205
00:28:00,448.0,448.0,448.0,448.0,0.18,80.64,448.0
00:29:00,448.0,448.0,448.0,448.0,1.73333,776.53184,448.0
00:30:00,,,,,,,
00:31:00,447.04,447.04,446.24,446.24,1.04581469,466.93159117,446.47641273
00:32:00,446.93,446.93,446.93,446.93,2.0,893.86,446.93
