Time,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
00:00:00,89.97,89.97,89.97,89.97,0.23341114,21.000000266,89.97
00:01:00,,,,,,,
00:02:00,,,,,,,
00:03:00,,,,,,,
00:04:00,,,,,,,
00:05:00,,,,,,,
00:06:00,,,,,,,
00:07:00,,,,,,,
00:08:00,,,,,,,
00:09:00,,,,,,,
00:10:00,89.97,89.97,89.97,89.97,0.03334444,2.9999992668,89.97
00:11:00,,,,,,,
00:12:00,,,,,,,
00:13:00,,,,,,,
00:14:00,89.97,89.97,89.97,89.97,0.127295,11.45273115,89.97
00:15:00,,,,,,,
00:16:00,,,,,,,
00:17:00,89.97,89.97,89.97,89.97,0.04952456,4.4557246632,89.97
00:18:00,89.97,89.97,89.97,89.97,0.02324714,2.0915451858,89.97
00:19:00,,,,,,,
00:20:00,89.96,89.96,89.96,89.96,0.23343709,21.000000616,89.96
00:21:00,,,,,,,
00:22:00,,,,,,,
00:23:00,,,,,,,
00:24:00,,,,,,,
00:25:00,,,,,,,
00:26:00,,,,,,,
00:27:00,,,,,,,
00:28:00,,,,,,,
00:29:00,,,,,,,
00:30:00,89.96,89.96,89.96,89.96,0.07781235,6.999999006,89.96
00:31:00,89.96,90.04,89.96,90.04,1.26,113.39650388,89.997225305
00:32:00,,,,,,,
00:33:00,,,,,,,
00:34:00,,,,,,,
00:35:00,,,,,,,
00:36:00,,,,,,,
00:37:00,,,,,,,
00:38:00,,,,,,,
00:39:00,,,,,,,
00:40:00,89.99,89.99,89.99,89.99,0.27780865,25.000000414,89.99
00:41:00,89.99,90.0,89.99,90.0,5.16666173,464.95000019,89.990408603
00:42:00,,,,,,,
00:43:00,,,,,,,
00:44:00,90.01,90.01,90.01,90.01,0.16,14.4016,90.01
00:45:00,,,,,,,
00:46:00,,,,,,,
00:47:00,,,,,,,
00:48:00,,,,,,,
00:49:00,,,,,,,
00:50:00,90.0,90.0,89.72,89.72,25.23333334,2265.3276101,89.775202492
00:51:00,,,,,,,
00:52:00,,,,,,,
00:53:00,,,,,,,
00:54:00,,,,,,,
00:55:00,89.88,89.88,89.88,89.88,0.27814865,25.000000662,89.88
00:56:00,89.88,89.9,89.88,89.9,0.73421589,66.000000797,89.891817511
00:57:00,,,,,,,
00:58:00,89.89,89.89,89.89,89.89,0.012,1.07868,89.89
00:59:00,,,,,,,
01:00:00,89.9,89.91,89.9,89.91,0.49597705,44.589736795,89.902822711
01:01:00,,,,,,,
01:02:00,,,,,,,
01:03:00,89.91,90.0,89.91,90.0,1.54970301,139.41259917,89.960849448
01:04:00,,,,,,,
01:05:00,,,,,,,
01:06:00,,,,,,,
01:07:00,,,,,,,
01:08:00,,,,,,,
01:09:00,,,,,,,
01:10:00,90.0,90.0,90.0,90.0,0.23333334,21.0000006,90.0
01:11:00,,,,,,,
01:12:00,90.01,90.01,90.01,90.01,0.00664815,0.5983999815,90.01
01:13:00,,,,,,,
01:14:00,90.02,90.06,90.02,90.06,0.98405093,88.603499196,90.039546221
01:15:00,90.1,90.12,90.1,90.12,0.4439056,40.000000382,90.109249313
01:16:00,90.13,90.13,90.13,90.13,0.26628204,24.000000265,90.13
01:17:00,,,,,,,
01:18:00,90.14,90.14,90.14,90.14,1.0,90.14,90.14
01:19:00,,,,,,,
01:20:00,90.13,90.13,90.13,90.13,0.23299679,21.000000683,90.13
01:21:00,,,,,,,
01:22:00,90.14,90.14,90.14,90.14,4.94,445.2916,90.14
01:23:00,,,,,,,
01:24:00,,,,,,,
01:25:00,,,,,,,
01:26:00,90.13,90.13,90.13,90.13,2.24126281,202.00501707,90.13
01:27:00,,,,,,,
01:28:00,,,,,,,
01:29:00,90.12,90.12,90.12,90.12,0.00794052,0.7155996624,90.12
01:30:00,90.12,90.12,90.12,90.12,0.14425211,13.000000153,90.12
01:31:00,,,,,,,
01:32:00,,,,,,,
01:33:00,90.12,90.12,90.12,90.12,0.08877053,8.0000001636,90.12
01:34:00,90.13,90.13,90.13,90.13,0.1442361,12.999999693,90.13
01:35:00,90.14,90.14,90.14,90.14,1.1055598,99.655160372,90.14
01:36:00,,,,,,,
01:37:00,,,,,,,
01:38:00,,,,,,,
01:39:00,,,,,,,
01:40:00,90.13,90.13,90.13,90.13,0.23299679,21.000000683,90.13
01:41:00,,,,,,,
01:42:00,,,,,,,
01:43:00,,,,,,,
01:44:00,,,,,,,
01:45:00,,,,,,,
01:46:00,,,,,,,
01:47:00,,,,,,,
01:48:00,,,,,,,
01:49:00,90.14,90.14,90.14,90.14,3.03,273.1242,90.14
01:50:00,90.13,90.14,90.13,90.14,0.30299679,27.309800683,90.132310255
01:51:00,90.14,90.14,90.14,90.14,0.9,81.126,90.14
01:52:00,,,,,,,
01:53:00,,,,,,,
01:54:00,90.14,90.14,90.14,90.14,0.63754077,57.467925008,90.14
01:55:00,,,,,,,
01:56:00,,,,,,,
01:57:00,,,,,,,
01:58:00,90.14,90.14,90.14,90.14,10.0,901.4,90.14
01:59:00,90.14,90.14,90.14,90.14,1.23456789,111.2839496,90.14
02:00:00,90.13,90.13,90.13,90.13,0.23299679,21.000000683,90.13
02:01:00,90.14,90.14,90.14,90.14,0.012,1.08168,90.14
02:02:00,,,,,,,
02:03:00,,,,,,,
02:04:00,90.14,90.16,90.14,90.16,17.07026756,1538.7196854,90.14033787
02:05:00,,,,,,,
02:06:00,,,,,,,
02:07:00,,,,,,,
02:08:00,,,,,,,
02:09:00,,,,,,,
02:10:00,90.16,90.16,90.16,90.16,0.23291926,21.000000482,90.16
02:11:00,,,,,,,
02:12:00,,,,,,,
02:13:00,,,,,,,
02:14:00,,,,,,,
02:15:00,,,,,,,
02:16:00,,,,,,,
02:17:00,90.16,90.16,90.12,90.12,2.31321874,208.51583496,90.140993309
02:18:00,,,,,,,
02:19:00,,,,,,,
02:20:00,90.11,90.11,90.11,90.11,0.00353679,0.3187001469,90.11
02:21:00,,,,,,,
02:22:00,90.11,90.11,90.11,90.11,0.22951171,20.681300188,90.11
02:23:00,,,,,,,
02:24:00,90.12,90.12,90.12,90.12,0.06,5.4072,90.12
02:25:00,,,,,,,
02:26:00,90.12,90.12,90.12,90.12,0.42,37.8504,90.12
02:27:00,,,,,,,
02:28:00,,,,,,,
02:29:00,,,,,,,
02:30:00,90.11,90.11,89.52,89.87,117.06201,10501.284311,89.707022041
02:31:00,89.97,89.97,89.22,89.22,159.4,14239.954712,89.33472216
02:32:00,89.99,89.99,89.98,89.98,0.38895928,35.000000619,89.983714026
02:33:00,,,,,,,
02:34:00,,,,,,,
02:35:00,89.72,89.76,89.59,89.76,2.95,264.5594558,89.681171459
02:36:00,89.68,89.68,89.21,89.21,19.0,1696.7819737,89.304314405
02:37:00,,,,,,,
02:38:00,,,,,,,
02:39:00,,,,,,,
02:40:00,89.4,89.4,89.4,89.4,0.15659955,13.99999977,89.4
02:41:00,,,,,,,
02:42:00,,,,,,,
02:43:00,,,,,,,
02:44:00,,,,,,,
02:45:00,89.4,89.42,89.4,89.42,0.16,14.305634004,89.410212527
02:46:00,,,,,,,
02:47:00,89.41,89.42,89.41,89.42,0.27,24.142057868,89.415029141
02:48:00,,,,,,,
02:49:00,,,,,,,
02:50:00,89.4,89.4,89.4,89.4,0.13422819,12.000000186,89.4
02:51:00,89.4,89.49,89.4,89.49,1.34,119.86260983,89.449708828
02:52:00,89.43,89.43,89.43,89.43,0.13,11.6259,89.43
02:53:00,,,,,,,
02:54:00,,,,,,,
02:55:00,,,,,,,
02:56:00,89.42,89.42,89.42,89.42,0.30194588,27.00000059,89.42
02:57:00,89.42,89.42,89.42,89.42,0.12,10.7304,89.42
02:58:00,89.42,89.54,89.42,89.54,2.06456296,184.73678317,89.479849609
02:59:00,89.47,89.47,89.45,89.45,0.4797,42.91352414,89.459087222
03:00:00,89.46,89.46,89.42,89.42,1.11899999,100.07341765,89.431115768
03:01:00,89.43,89.43,89.4,89.4,2.41903612,216.3042809,89.417549045
03:02:00,89.4,89.4,89.4,89.4,0.2,17.88,89.4
03:03:00,,,,,,,
03:04:00,,,,,,,
03:05:00,,,,,,,
03:06:00,,,,,,,
03:07:00,,,,,,,
03:08:00,,,,,,,
03:09:00,89.4,89.4,89.4,89.4,1.83666857,164.19817016,89.4
03:10:00,89.39,89.39,89.39,89.39,0.11186934,10.000000303,89.39
03:11:00,89.38,89.38,89.21,89.21,10.0,892.19575793,89.219575793
03:12:00,,,,,,,
03:13:00,89.27,89.27,89.21,89.21,3.3,294.43658467,89.223207476
03:14:00,89.23,89.24,89.23,89.24,0.2,17.846543091,89.232715454
03:15:00,89.21,89.21,89.21,89.21,1.0,89.21,89.21
03:16:00,89.23,89.28,89.23,89.28,0.89,79.440531248,89.259023875
03:17:00,89.23,89.25,89.21,89.25,11.15,994.70366413,89.211090954
03:18:00,89.23,89.23,89.23,89.23,0.13448392,12.000000182,89.23
03:19:00,,,,,,,
03:20:00,89.22,89.47,89.22,89.47,4.04449616,361.22868215,89.313642011
03:21:00,,,,,,,
03:22:00,,,,,,,
03:23:00,,,,,,,
03:24:00,89.34,89.34,89.34,89.34,0.16,14.2944,89.34
03:25:00,,,,,,,
03:26:00,,,,,,,
03:27:00,,,,,,,
03:28:00,,,,,,,
03:29:00,,,,,,,
03:30:00,89.33,89.38,89.33,89.38,0.85791671,76.660132373,89.35614784
03:31:00,89.36,89.41,89.36,89.41,1.21994833,109.04859949,89.387883743
03:32:00,,,,,,,
03:33:00,,,,,,,
03:34:00,,,,,,,
03:35:00,,,,,,,
03:36:00,89.42,89.42,89.42,89.42,0.12301499,11.000000406,89.42
03:37:00,89.42,89.42,89.42,89.42,0.18173249,16.250519256,89.42
03:38:00,,,,,,,
03:39:00,,,,,,,
03:40:00,89.41,89.41,89.41,89.41,0.23487306,21.000000295,89.41
03:41:00,,,,,,,
03:42:00,,,,,,,
03:43:00,89.42,89.42,89.42,89.42,2.445,218.6319,89.42
03:44:00,89.41,89.41,89.41,89.41,0.839,75.01499,89.41
03:45:00,89.42,89.42,89.41,89.41,3.38014814,302.2510452,89.419467041
03:46:00,89.38,89.38,89.03,89.03,42.31,3774.2001971,89.203502649
03:47:00,,,,,,,
03:48:00,,,,,,,
03:49:00,,,,,,,
03:50:00,89.15,89.15,89.15,89.15,0.1121705,10.000000075,89.15
03:51:00,,,,,,,
03:52:00,,,,,,,
03:53:00,,,,,,,
03:54:00,,,,,,,
03:55:00,,,,,,,
03:56:00,,,,,,,
03:57:00,,,,,,,
03:58:00,,,,,,,
03:59:00,,,,,,,
04:00:00,89.14,89.14,89.14,89.14,0.14583801,13.000000211,89.14
04:01:00,,,,,,,
04:02:00,89.14,89.14,89.14,89.14,0.06,5.3484,89.14
04:03:00,,,,,,,
04:04:00,,,,,,,
04:05:00,,,,,,,
04:06:00,,,,,,,
04:07:00,,,,,,,
04:08:00,,,,,,,
04:09:00,,,,,,,
04:10:00,89.13,89.13,89.13,89.13,0.23561091,21.000000408,89.13
04:11:00,,,,,,,
04:12:00,89.14,89.18,89.14,89.18,0.43,38.339929172,89.162625981
04:13:00,,,,,,,
04:14:00,,,,,,,
04:15:00,89.16,89.18,89.16,89.17,0.79388851,70.788771442,89.167144442
04:16:00,89.18,89.42,89.18,89.42,6.0,535.85814919,89.309691532
04:17:00,89.27,89.46,89.27,89.46,2.94,262.78919358,89.384079448
04:18:00,,,,,,,
04:19:00,89.26,89.48,89.26,89.48,0.91952857,82.229793836,89.42603473
04:20:00,89.48,89.48,89.48,89.48,0.23468932,21.000000354,89.48
04:21:00,,,,,,,
04:22:00,,,,,,,
04:23:00,,,,,,,
04:24:00,89.49,89.49,89.49,89.49,0.11174433,10.000000092,89.49
04:25:00,89.5,89.5,89.5,89.5,0.1452514,13.0000003,89.5
04:26:00,89.5,89.5,89.5,89.5,3.0,268.5,89.5
04:27:00,,,,,,,
04:28:00,89.49,89.49,89.49,89.49,20.0,1789.8,89.49
04:29:00,89.51,89.51,89.51,89.51,0.1228913,11.000000263,89.51
04:30:00,89.51,89.51,89.51,89.51,0.23461066,21.000000177,89.51
04:31:00,,,,,,,
04:32:00,,,,,,,
04:33:00,,,,,,,
04:34:00,,,,,,,
04:35:00,89.52,89.52,89.52,89.52,0.26170688,23.427999898,89.52
04:36:00,89.53,89.53,89.53,89.53,0.15123422,13.539999717,89.53
04:37:00,,,,,,,
04:38:00,,,,,,,
04:39:00,,,,,,,
04:40:00,89.52,89.52,89.52,89.52,2.70633257,242.27089167,89.52
04:41:00,89.5,89.52,89.5,89.52,0.39406777,35.272589366,89.508942499
04:42:00,,,,,,,
04:43:00,,,,,,,
04:44:00,,,,,,,
04:45:00,,,,,,,
04:46:00,89.53,89.53,89.53,89.53,0.00513795,0.4600006635,89.53
04:47:00,,,,,,,
04:48:00,,,,,,,
04:49:00,,,,,,,
04:50:00,89.53,89.53,89.53,89.53,0.23455825,21.000000123,89.53
04:51:00,,,,,,,
04:52:00,,,,,,,
04:53:00,89.53,89.53,89.53,89.53,26.656486,2386.5551916,89.53
04:54:00,,,,,,,
04:55:00,,,,,,,
04:56:00,89.53,89.53,89.53,89.53,7.54,675.0562,89.53
04:57:00,89.54,89.54,89.54,89.54,0.26549738,23.772635405,89.54
04:58:00,,,,,,,
04:59:00,,,,,,,
05:00:00,89.54,89.54,89.54,89.54,5.25953206,470.93850065,89.54
05:01:00,,,,,,,
05:02:00,,,,,,,
05:03:00,,,,,,,
05:04:00,,,,,,,
05:05:00,,,,,,,
05:06:00,,,,,,,
05:07:00,89.55,89.65,89.55,89.65,8.19367802,734.16000127,89.600787275
05:08:00,89.66,89.66,89.66,89.66,7.31229088,655.6200003,89.66
05:09:00,89.66,89.66,89.66,89.66,0.53814409,48.249999109,89.66
05:10:00,89.65,89.65,89.65,89.65,0.23424429,21.000000599,89.65
05:11:00,89.65,89.65,89.65,89.65,10.0,896.5,89.65
05:12:00,89.65,89.65,89.65,89.65,9.1954,824.36761,89.65
05:13:00,89.67,89.67,89.67,89.67,0.23419204,21.000000227,89.67
05:14:00,89.67,89.67,89.67,89.67,0.012152,1.08966984,89.67
05:15:00,89.67,89.67,89.67,89.67,0.12903234,11.570329928,89.67
05:16:00,,,,,,,
05:17:00,,,,,,,
05:18:00,,,,,,,
05:19:00,,,,,,,
05:20:00,89.67,89.67,89.67,89.67,0.23419204,21.000000227,89.67
05:21:00,,,,,,,
05:22:00,,,,,,,
05:23:00,,,,,,,
05:24:00,,,,,,,
05:25:00,89.67,89.67,89.65,89.65,1.22534094,109.85807789,89.655110916
05:26:00,89.66,89.66,89.65,89.65,8.40869,753.84073149,89.650198959
05:27:00,,,,,,,
05:28:00,89.65,89.65,89.65,89.65,3.0,268.95,89.65
05:29:00,89.65,89.65,89.65,89.65,19.49865501,1748.0544216,89.65
05:30:00,89.65,89.65,89.65,89.65,0.23424429,21.000000599,89.65
05:31:00,,,,,,,
05:32:00,,,,,,,
05:33:00,89.67,89.67,89.67,89.67,0.07772945,6.9699997815,89.67
05:34:00,89.65,89.65,89.54,89.54,2.0,179.29891945,89.649459726
05:35:00,89.62,89.62,89.62,89.62,0.14505691,13.000000274,89.62
05:36:00,89.61,89.61,89.54,89.54,2.0,179.13748263,89.568741313
05:37:00,89.57,89.57,89.52,89.52,4.65373392,416.66885534,89.534309976
05:38:00,89.51,89.52,89.5,89.5,1.55125935,138.86651982,89.518570714
05:39:00,89.5,89.5,89.5,89.5,0.05673184,5.07749968,89.5
05:40:00,89.49,89.49,89.48,89.48,2.0,178.96279361,89.481396804
05:41:00,,,,,,,
05:42:00,89.48,89.48,89.48,89.48,1.69346581,151.53132068,89.48
05:43:00,,,,,,,
05:44:00,,,,,,,
05:45:00,,,,,,,
05:46:00,,,,,,,
05:47:00,,,,,,,
05:48:00,,,,,,,
05:49:00,,,,,,,
05:50:00,89.37,89.37,89.31,89.31,1.13427325,101.33440077,89.338614629
05:51:00,,,,,,,
05:52:00,89.34,89.34,89.03,89.03,40.0,3563.8833574,89.097083934
05:53:00,89.08,89.08,89.03,89.03,10.0,890.3275072,89.03275072
05:54:00,89.13,89.17,89.01,89.01,25.7,2287.9564175,89.025541536
05:55:00,89.06,89.08,89.01,89.01,18.51452657,1648.0156263,89.01203172
05:56:00,,,,,,,
05:57:00,,,,,,,
05:58:00,89.04,89.04,89.0,89.0,0.83909639,74.69710097,89.020882296
05:59:00,89.0,89.01,89.0,89.01,4.39679052,391.31547975,89.00025552
06:00:00,89.0,89.0,88.99,88.99,1.75602584,156.28396357,88.998669616
06:01:00,88.98,89.0,88.87,88.88,54.70219952,4866.415789,88.961976514
06:02:00,88.86,89.01,88.86,89.01,1.18377,105.28176755,88.937688529
