Time,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
00:00:00,97.57,97.57,97.57,97.57,0.98995593,96.59000009,97.57
00:01:00,,,,,,,
00:02:00,97.87,98.32,97.87,98.32,3.61961246,354.72933348,98.002020217
00:03:00,98.33,98.34,97.54,97.54,8.09730754,791.13737202,97.703757467
00:04:00,,,,,,,
00:05:00,,,,,,,
00:06:00,,,,,,,
00:07:00,98.26,98.26,98.26,98.26,0.356,34.98056,98.26
00:08:00,98.26,98.27,98.26,98.27,1.64389982,161.53894531,98.265687085
00:09:00,98.2,98.2,98.2,98.2,2.0,196.4,98.2
00:10:00,97.94,97.94,97.94,97.94,0.04640596,4.5449997224,97.94
00:11:00,97.93,98.26,97.69,98.26,7.52241713,735.668417,97.796812419
00:12:00,,,,,,,
00:13:00,,,,,,,
00:14:00,98.07,98.07,98.07,98.07,0.04624248,4.5350000136,98.07
00:15:00,,,,,,,
00:16:00,98.07,98.07,98.07,98.07,0.93734067,91.924999507,98.07
00:17:00,,,,,,,
00:18:00,,,,,,,
00:19:00,,,,,,,
00:20:00,97.69,98.07,97.69,98.07,1.18996472,116.32365215,97.753866306
00:21:00,,,,,,,
00:22:00,,,,,,,
00:23:00,,,,,,,
00:24:00,,,,,,,
00:25:00,,,,,,,
00:26:00,98.07,98.07,98.07,98.07,0.21,20.5947,98.07
00:27:00,98.0,98.0,98.0,98.0,3.57266288,350.12096224,98.0
00:28:00,98.07,98.25,98.07,98.25,0.77,75.582916488,98.159631803
00:29:00,,,,,,,
00:30:00,97.86,97.86,97.86,97.86,0.98998569,96.879999623,97.86
00:31:00,,,,,,,
00:32:00,98.24,98.26,98.24,98.26,0.5817575,57.162107123,98.25761958
00:33:00,98.26,98.26,98.26,98.26,1.33037595,130.72274085,98.26
00:34:00,,,,,,,
00:35:00,98.27,98.48,98.27,98.48,1.01,99.356917791,98.373185932
00:36:00,,,,,,,
00:37:00,98.49,98.77,98.49,98.77,13.84525,1365.4787715,98.624349253
00:38:00,,,,,,,
00:39:00,,,,,,,
00:40:00,98.39,98.78,98.39,98.78,1.29351098,127.38693878,98.481528765
00:41:00,,,,,,,
00:42:00,98.4,99.04,97.99,99.04,6.97119,687.60229349,98.634851939
00:43:00,98.74,98.74,98.74,98.74,0.04592871,4.5350008254,98.74
00:44:00,,,,,,,
00:45:00,,,,,,,
00:46:00,,,,,,,
00:47:00,98.74,98.74,98.74,98.74,4.792,473.16208,98.74
00:48:00,,,,,,,
00:49:00,,,,,,,
00:50:00,98.74,98.74,98.74,98.74,0.00013084,0.0129191416,98.74
00:51:00,,,,,,,
00:52:00,,,,,,,
00:53:00,98.73,98.73,98.73,98.73,0.0756482,7.468746786,98.73
00:54:00,,,,,,,
00:55:00,,,,,,,
00:56:00,,,,,,,
00:57:00,,,,,,,
00:58:00,,,,,,,
00:59:00,,,,,,,
01:00:00,98.35,98.35,98.35,98.35,0.0462125,4.544999375,98.35
01:01:00,,,,,,,
01:02:00,,,,,,,
01:03:00,,,,,,,
01:04:00,,,,,,,
01:05:00,,,,,,,
01:06:00,,,,,,,
01:07:00,,,,,,,
01:08:00,,,,,,,
01:09:00,,,,,,,
01:10:00,98.31,98.31,98.31,98.31,0.0462313,4.544999103,98.31
01:11:00,,,,,,,
01:12:00,,,,,,,
01:13:00,98.31,98.35,98.31,98.35,1.12,110.11425206,98.316296482
01:14:00,,,,,,,
01:15:00,,,,,,,
01:16:00,,,,,,,
01:17:00,,,,,,,
01:18:00,,,,,,,
01:19:00,,,,,,,
01:20:00,98.3,98.3,98.3,98.3,0.04623601,4.544999783,98.3
01:21:00,98.3,98.3,98.3,98.3,0.22,21.626,98.3
01:22:00,,,,,,,
01:23:00,,,,,,,
01:24:00,,,,,,,
01:25:00,,,,,,,
01:26:00,98.3,98.35,98.3,98.35,0.94,92.412815361,98.311505703
01:27:00,,,,,,,
01:28:00,,,,,,,
01:29:00,,,,,,,
01:30:00,98.29,98.29,98.29,98.29,0.04624071,4.5449993859,98.29
01:31:00,,,,,,,
01:32:00,,,,,,,
01:33:00,98.29,98.59,98.29,98.59,2.0,196.76235684,98.381178418
01:34:00,,,,,,,
01:35:00,98.29,98.29,98.29,98.29,0.9874,97.051546,98.29
01:36:00,,,,,,,
01:37:00,,,,,,,
01:38:00,,,,,,,
01:39:00,,,,,,,
01:40:00,98.28,98.28,98.28,98.28,0.04624542,4.5449998776,98.28
01:41:00,,,,,,,
01:42:00,,,,,,,
01:43:00,98.28,98.29,98.28,98.29,10.0,982.88885636,98.288885636
01:44:00,,,,,,,
01:45:00,,,,,,,
01:46:00,98.27,98.27,98.27,98.27,0.04625012,4.5449992924,98.27
01:47:00,98.26,98.26,98.26,98.26,0.04625483,4.5449995958,98.26
01:48:00,98.24,98.24,98.24,98.24,0.04626425,4.54499992,98.24
01:49:00,98.23,98.23,98.23,98.23,0.04626896,4.5449999408,98.23
01:50:00,98.22,98.22,98.21,98.22,1.24255205,122.03356316,98.212033174
01:51:00,98.2,98.2,98.2,98.2,3.68929362,362.28863348,98.2
01:52:00,,,,,,,
01:53:00,98.58,98.58,98.58,98.58,0.07576375,7.468790475,98.58
01:54:00,,,,,,,
01:55:00,,,,,,,
01:56:00,,,,,,,
01:57:00,,,,,,,
01:58:00,,,,,,,
01:59:00,,,,,,,
02:00:00,98.2,98.2,98.2,98.2,0.98991853,97.209999646,98.2
02:01:00,,,,,,,
02:02:00,,,,,,,
02:03:00,,,,,,,
02:04:00,,,,,,,
02:05:00,,,,,,,
02:06:00,,,,,,,
02:07:00,,,,,,,
02:08:00,98.2,98.2,98.03,98.03,12.8043,1255.7207373,98.070237134
02:09:00,,,,,,,
02:10:00,98.03,98.03,98.03,98.03,0.4779534,46.853771802,98.03
02:11:00,,,,,,,
02:12:00,98.02,98.02,98.02,98.02,0.04636808,4.5449992016,98.02
02:13:00,98.0,98.0,98.0,98.0,0.04637755,4.5449999,98.0
02:14:00,97.99,97.99,97.65,97.65,4.16497437,407.19666647,97.766908101
02:15:00,,,,,,,
02:16:00,98.03,98.03,98.03,98.03,0.39581134,38.80138566,98.03
02:17:00,,,,,,,
02:18:00,,,,,,,
02:19:00,,,,,,,
02:20:00,97.64,98.1,97.64,98.1,1.96163854,191.96073999,97.857345312
02:21:00,98.1,98.1,98.1,98.1,0.02019549,1.981177569,98.1
02:22:00,98.1,98.2,98.1,98.2,2.12010076,208.12058338,98.165420863
02:23:00,98.21,98.21,98.21,98.21,0.04617657,4.5350009397,98.21
02:24:00,,,,,,,
02:25:00,98.22,98.31,98.22,98.31,0.41537295,40.815004358,98.261103323
02:26:00,,,,,,,
02:27:00,,,,,,,
02:28:00,,,,,,,
02:29:00,,,,,,,
02:30:00,97.92,97.92,97.92,97.92,0.04641544,4.5449998848,97.92
02:31:00,,,,,,,
02:32:00,97.92,97.92,97.92,97.92,0.24,23.5008,97.92
02:33:00,97.92,97.92,97.92,97.92,0.70357639,68.894200109,97.92
02:34:00,,,,,,,
02:35:00,,,,,,,
02:36:00,98.31,99.0,98.31,99.0,24.88504217,2456.2236008,98.702810467
02:37:00,99.01,99.98,97.45,99.18,118.76999,11816.021373,99.486590616
02:38:00,,,,,,,
02:39:00,,,,,,,
02:40:00,98.9,98.9,98.87,98.87,0.18384991,18.179998118,98.884998736
02:41:00,98.86,98.86,98.83,98.83,0.13794556,13.634998752,98.843331759
02:42:00,98.82,98.82,98.81,98.81,0.09199007,9.0899987438,98.814999747
02:43:00,98.8,98.8,98.8,98.8,0.04600202,4.544999576,98.8
02:44:00,,,,,,,
02:45:00,,,,,,,
02:46:00,,,,,,,
02:47:00,,,,,,,
02:48:00,,,,,,,
02:49:00,,,,,,,
