Time,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
00:00:00,,,,,,,
00:01:00,,,,,,,
00:02:00,,,,,,,
00:03:00,,,,,,,
00:04:00,288.29,288.33,288.29,288.33,0.92,265.2628,288.32913043
00:05:00,288.14,288.14,288.1,288.1,14.099,4062.3681758,288.13165301
00:06:00,,,,,,,
00:07:00,288.08,288.08,287.99,287.99,2.71821066,782.82068797,287.99117725
00:08:00,,,,,,,
00:09:00,287.99,287.99,287.99,287.99,0.1,28.799,287.99
00:10:00,287.98,287.98,287.8,287.8,0.5094,146.66103883,287.90938129
00:11:00,,,,,,,
00:12:00,,,,,,,
00:13:00,287.88,287.88,287.88,287.88,0.20716175,59.63772459,287.88
00:14:00,,,,,,,
00:15:00,,,,,,,
00:16:00,,,,,,,
00:17:00,,,,,,,
00:18:00,287.68,287.68,287.68,287.68,0.02,5.7536,287.68
00:19:00,,,,,,,
00:20:00,,,,,,,
00:21:00,,,,,,,
00:22:00,,,,,,,
00:23:00,,,,,,,
00:24:00,,,,,,,
00:25:00,,,,,,,
00:26:00,,,,,,,
00:27:00,,,,,,,
00:28:00,,,,,,,
00:29:00,,,,,,,
00:30:00,287.69,287.69,287.69,287.69,0.02069841,5.9547255729,287.69
00:31:00,,,,,,,
00:32:00,287.86,287.86,287.86,287.86,0.03635951,10.466448549,287.86
00:33:00,287.96,287.96,287.96,287.96,0.02,5.7592,287.96
00:34:00,288.06,288.06,288.06,288.06,2.62143675,755.13107021,288.06
00:35:00,288.07,288.07,288.07,288.07,0.86941618,250.45271897,288.07
00:36:00,,,,,,,
00:37:00,,,,,,,
00:38:00,288.0,288.0,288.0,288.0,0.43,123.84,288.0
00:39:00,,,,,,,
00:40:00,,,,,,,
00:41:00,,,,,,,
00:42:00,,,,,,,
00:43:00,,,,,,,
00:44:00,288.24,288.24,288.23,288.23,0.18,51.882393534,288.23551964
00:45:00,288.1,288.1,288.1,288.1,1.02,293.862,288.1
00:46:00,288.02,288.02,288.02,288.02,1.0,288.02,288.02
00:47:00,,,,,,,
00:48:00,,,,,,,
00:49:00,,,,,,,
00:50:00,288.26,288.26,288.26,288.26,0.02,5.7652,288.26
00:51:00,,,,,,,
00:52:00,,,,,,,
00:53:00,,,,,,,
00:54:00,,,,,,,
00:55:00,,,,,,,
00:56:00,,,,,,,
00:57:00,,,,,,,
00:58:00,,,,,,,
00:59:00,,,,,,,
01:00:00,288.34,288.45,288.31,288.31,9.4328707,2720.7014397,288.42772536
01:01:00,288.42,288.42,288.42,288.42,0.04,11.5368,288.42
01:02:00,288.42,288.44,288.42,288.44,0.22120643,63.802382669,288.42915041
01:03:00,288.42,288.42,288.26,288.26,0.05,14.414522558,288.29045117
01:04:00,,,,,,,
01:05:00,288.44,288.44,288.44,288.44,0.01925345,5.553465118,288.44
01:06:00,,,,,,,
01:07:00,288.34,288.34,288.34,288.34,1.0,288.34,288.34
01:08:00,,,,,,,
01:09:00,,,,,,,
01:10:00,288.4,288.4,288.4,288.4,0.37919556,109.3599995,288.4
01:11:00,288.39,288.4,288.24,288.24,30.6,8823.154935,288.33839657
01:12:00,,,,,,,
01:13:00,288.24,288.43,288.24,288.43,3.70632493,1069.007211,288.42781764
01:14:00,288.24,288.27,288.24,288.27,0.04497576,12.964522699,288.25577821
01:15:00,288.41,288.41,288.41,288.41,0.89934468,259.37999916,288.41
01:16:00,,,,,,,
01:17:00,,,,,,,
01:18:00,,,,,,,
01:19:00,,,,,,,
01:20:00,,,,,,,
01:21:00,,,,,,,
01:22:00,,,,,,,
01:23:00,,,,,,,
01:24:00,,,,,,,
01:25:00,,,,,,,
01:26:00,,,,,,,
01:27:00,,,,,,,
01:28:00,,,,,,,
01:29:00,,,,,,,
01:30:00,,,,,,,
01:31:00,,,,,,,
01:32:00,,,,,,,
01:33:00,288.41,288.41,288.41,288.41,1.702848,491.11839168,288.41
01:34:00,,,,,,,
01:35:00,,,,,,,
01:36:00,288.23,288.23,288.23,288.23,0.32589569,93.932914729,288.23
01:37:00,,,,,,,
01:38:00,,,,,,,
01:39:00,,,,,,,
01:40:00,,,,,,,
01:41:00,,,,,,,
01:42:00,,,,,,,
01:43:00,,,,,,,
01:44:00,,,,,,,
01:45:00,,,,,,,
