Time,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
00:00:00,583.01,583.01,583.01,583.01,0.0849,49.497549,583.01
00:01:00,,,,,,,
00:02:00,583.01,583.01,582.26,582.26,5.22985369,3045.2638791,582.28471763
00:03:00,583.07,583.1,583.07,583.1,15.0,8746.345749,583.0897166
00:04:00,583.1,583.1,583.1,583.1,2.205,1285.7355,583.1
00:05:00,,,,,,,
00:06:00,,,,,,,
00:07:00,582.0,582.11,581.02,582.08,3.50977009,2041.6009577,581.69079607
00:08:00,,,,,,,
00:09:00,,,,,,,
00:10:00,,,,,,,
00:11:00,581.52,581.52,581.52,581.52,0.2,116.304,581.52
00:12:00,,,,,,,
00:13:00,,,,,,,
00:14:00,,,,,,,
00:15:00,580.77,580.77,580.77,580.77,0.35,203.2695,580.77
00:16:00,581.07,581.07,579.62,580.79,0.35872157,208.34726064,580.80494195
00:17:00,579.7,580.26,579.44,580.26,11.44702185,6634.4340892,579.57730632
00:18:00,580.2,580.2,579.77,579.77,0.30292489,175.65127348,579.85091115
00:19:00,,,,,,,
00:20:00,579.44,579.72,579.44,579.67,2.02732572,1174.9799001,579.57134787
00:21:00,580.68,580.68,580.68,580.68,0.12322979,71.557074457,580.68
00:22:00,,,,,,,
00:23:00,580.3,580.3,580.25,580.25,0.11405478,66.183508995,580.27825747
00:24:00,,,,,,,
00:25:00,579.85,579.85,579.85,579.85,0.26716152,154.91360737,579.85
00:26:00,579.55,579.55,579.55,579.55,1.23487068,715.66930259,579.55
00:27:00,,,,,,,
00:28:00,,,,,,,
00:29:00,580.46,580.46,579.41,580.37,0.12522683,72.657564253,580.20764602
00:30:00,579.46,579.46,579.46,579.46,0.06,34.7676,579.46
00:31:00,581.1,581.1,581.1,581.1,0.26829422,155.90577124,581.1
00:32:00,580.97,580.97,580.97,580.97,0.04548513,26.425495976,580.97
00:33:00,579.93,580.87,579.93,580.85,0.57384662,333.31266344,580.83929019
00:34:00,,,,,,,
00:35:00,,,,,,,
00:36:00,580.69,580.69,580.69,580.69,0.87677021,509.13169324,580.69
