Time,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
00:00:00,725.0,725.0,723.43,724.28,12.2858,8891.5908762,723.72909181
00:01:00,724.28,726.04,723.0,725.78,7.11864704,5149.6552761,723.40365342
00:02:00,726.04,726.04,722.23,726.04,13.82326403,9995.811843,723.1151645
00:03:00,726.04,728.18,726.04,728.18,1.37389987,999.66852088,727.61381139
00:04:00,728.18,728.18,728.18,728.18,0.149,108.49882,728.18
00:05:00,728.16,728.16,722.0,726.04,45.26102031,32692.201312,722.30367517
00:06:00,722.24,726.04,720.0,726.04,118.50537722,85433.932822,720.92874455
00:07:00,726.04,727.54,719.25,719.98,52.53319375,37839.842821,720.30349041
00:08:00,719.98,721.72,719.98,721.72,2.00994722,1447.8784015,720.35642883
00:09:00,723.22,726.14,718.0,718.0,48.59358644,34952.349547,719.27906763
00:10:00,717.82,722.33,715.34,722.33,45.27796236,32438.151958,716.42252141
00:11:00,720.79,722.89,718.0,720.79,2.51522746,1811.6318109,720.26559814
00:12:00,723.31,723.31,723.31,723.31,0.05,36.1655,723.31
00:13:00,721.37,721.37,716.0,716.0,30.08049444,21543.860781,716.20700332
00:14:00,716.0,721.02,715.34,721.02,26.37675745,18907.65312,716.83007874
00:15:00,721.02,721.51,715.03,715.03,12.52617692,9026.2574374,720.59156557
00:16:00,720.0,720.0,712.0,715.02,44.86866231,32027.206957,713.79901491
00:17:00,715.02,720.97,711.0,716.52,78.71688312,56122.212552,712.96284009
00:18:00,716.52,716.52,710.0,715.0,55.4834165,39507.760634,712.06430906
00:19:00,714.46,715.35,709.17,714.37,89.59841995,63712.99766,711.09510296
00:20:00,714.37,714.37,711.99,714.37,0.73595333,525.33647168,713.8176434
00:21:00,714.0,715.87,713.5,714.55,46.12801219,32942.52814,714.15451427
00:22:00,714.55,717.01,714.0,717.01,16.95369585,12119.150242,714.83824822
00:23:00,716.68,717.03,715.93,717.03,1.01,723.2241,716.06346535
00:24:00,717.03,717.43,717.03,717.43,1.903,1365.16149,717.3733526
00:25:00,717.59,717.59,708.2,708.2,8.51169425,6041.9959292,709.84644793
00:26:00,708.2,711.2,707.0,707.0,100.93951757,71450.836596,707.85791647
00:27:00,707.0,708.56,707.0,707.0,123.29154933,87171.639649,707.03661462
00:28:00,707.46,709.99,706.83,708.38,10.40569135,7373.521579,708.60467902
00:29:00,708.4,708.4,706.0,706.0,26.09016995,18434.287278,706.56064384
00:30:00,706.0,709.81,706.0,706.1,7.65124644,5406.8960755,706.66866083
00:31:00,706.1,706.1,703.0,703.0,52.80736051,37224.59419,704.91298619
00:32:00,703.0,705.26,702.0,705.26,72.15634763,50708.423838,702.75762984
00:33:00,705.28,706.82,705.26,705.26,16.46466308,11614.726122,705.43357403
00:34:00,705.26,706.99,705.26,706.99,10.88235205,7691.9108588,706.82429897
00:35:00,706.82,712.6,705.27,706.95,117.81016147,83541.940348,709.12338381
00:36:00,705.5,706.98,705.44,706.96,5.69036192,4021.0133877,706.63578947
00:37:00,705.45,713.7,702.0,709.32,74.07299045,52398.642737,707.39202534
00:38:00,707.83,712.57,702.0,702.0,63.58036068,44797.945124,704.58777908
00:39:00,705.01,707.72,703.01,703.01,7.48243718,5264.6406253,703.59970937
00:40:00,703.0,705.4,703.0,703.0,133.35643071,93758.22827,703.06491986
00:41:00,704.0,704.0,701.45,703.99,52.10642186,36590.056018,702.21778261
00:42:00,704.0,704.0,701.0,701.11,72.45406407,50797.57499,701.10042331
00:43:00,702.4,702.4,701.0,702.4,31.86846784,22345.083853,701.16592881
00:44:00,702.0,704.0,701.0,704.0,24.42818547,17137.853076,701.5606254
00:45:00,702.0,703.79,701.11,701.11,5.24037539,3677.965782,701.85158663
00:46:00,701.11,701.11,700.0,700.0,122.32738404,85663.187081,700.27809189
00:47:00,700.0,700.0,694.66,698.44,105.25082417,73212.44521,695.59973318
00:48:00,694.66,698.44,693.0,693.0,78.0347909,54167.856301,694.15007943
00:49:00,692.7,697.96,684.71,696.49,178.37910513,122777.73057,688.29659439
00:50:00,697.44,697.44,691.25,694.37,9.99080984,6941.2034841,694.7588429
00:51:00,694.25,694.25,694.2,694.25,5.39165073,3743.0937166,694.23890827
00:52:00,694.25,697.43,694.25,694.42,84.20333795,58580.703761,695.70524384
00:53:00,694.42,695.02,694.42,695.02,24.92527063,17309.522889,694.45676825
00:54:00,695.01,695.02,692.82,692.82,4.8790565,3386.8247631,694.15567603
00:55:00,692.82,696.11,692.82,695.32,32.31424698,22471.499168,695.40531711
00:56:00,696.42,696.84,693.0,695.0,20.73491041,14408.775051,694.90413831
00:57:00,695.0,697.0,695.0,696.84,8.39143231,5833.9055848,695.22167007
00:58:00,696.98,698.5,696.84,698.5,9.47817869,6607.7346539,697.15236123
00:59:00,698.54,699.66,697.66,699.66,3.55412694,2481.1178151,698.09487871
01:00:00,699.0,702.74,699.0,700.0,10.80368308,7565.1454706,700.23763328
01:01:00,700.2,703.44,700.2,703.43,11.31591561,7959.4433967,703.38483168
01:02:00,703.43,710.0,701.5,704.6,92.12936132,65223.315763,707.95362986
01:03:00,705.0,706.0,704.6,705.02,21.66220889,15273.391021,705.07080318
01:04:00,705.02,705.02,705.0,705.0,8.98730557,6336.075726,705.00281499
01:05:00,705.0,706.0,705.0,705.0,8.88754022,6266.2158551,705.05625854
01:06:00,705.0,709.89,705.0,709.89,37.20194969,26327.423859,707.6893571
01:07:00,707.62,709.89,707.62,709.89,4.41829,3129.597933,708.32786733
01:08:00,707.36,709.94,707.36,709.94,21.26946078,15088.835455,709.41316337
01:09:00,709.84,710.0,709.84,710.0,33.42500151,23731.382579,709.98897554
01:10:00,709.19,709.19,708.0,708.0,7.4876179,5309.0019585,709.03751092
01:11:00,707.0,707.15,704.23,704.23,10.57607308,7462.7545494,705.62622752
01:12:00,704.8,704.8,704.8,704.8,6.39231782,4505.3055995,704.8
01:13:00,704.8,704.8,702.71,704.06,14.03480649,9881.4956832,704.0706753
01:14:00,704.06,704.06,702.72,704.02,2.74761539,1934.1446966,703.93574865
01:15:00,704.02,704.06,698.11,702.95,43.3717,30366.297929,700.14082751
01:16:00,700.0,703.98,697.1,703.98,50.74864217,35521.655093,699.95281792
01:17:00,703.96,703.96,699.46,699.46,2.454,1720.58158,701.13348818
01:18:00,702.0,702.0,700.96,700.96,1.07725862,755.36988987,701.19642196
01:19:00,700.96,700.96,700.96,700.96,0.54,378.5184,700.96
01:20:00,699.31,699.31,699.31,699.31,0.02,13.9862,699.31
01:21:00,700.0,700.0,699.32,700.0,14.30593,10014.1459,699.9996435
01:22:00,700.0,701.5,697.56,700.71,16.26077268,11390.342,700.47975112
01:23:00,701.19,701.2,697.99,701.2,1.912,1340.62736,701.16493724
01:24:00,702.0,703.05,702.0,703.05,0.12,84.332332208,702.76943506
01:25:00,700.66,700.66,700.66,700.66,0.05667142,39.707397137,700.66
01:26:00,700.66,703.01,698.0,700.66,29.518,20653.069428,699.67712677
01:27:00,700.66,702.58,700.66,702.16,17.35038344,12157.798772,700.72219522
01:28:00,702.16,703.0,702.16,703.0,1.0170028,714.2876884,702.34584251
01:29:00,702.9,702.9,702.9,702.9,0.09792289,68.829999381,702.9
01:30:00,700.93,700.93,700.93,700.93,0.81,567.7533,700.93
01:31:00,702.89,702.89,701.7,701.7,0.518,364.05418,702.8072973
01:32:00,701.0,701.0,701.0,701.0,0.01,7.01,701.0
01:33:00,701.0,701.0,700.93,700.93,1.536,1076.68847,700.96905599
01:34:00,701.0,701.0,700.99,701.0,10.396,7287.59281,700.99969315
01:35:00,700.13,700.13,699.0,699.0,2.126,1486.47758,699.18983067
01:36:00,699.99,699.99,696.94,698.0,35.76515083,24952.941101,697.68868638
01:37:00,698.0,700.0,697.62,700.0,12.53481413,8769.2420929,699.59091551
01:38:00,699.51,700.02,693.91,700.0,41.47886628,28911.679754,697.02193785
01:39:00,700.0,700.0,700.0,700.0,7.76843279,5437.902953,700.0
01:40:00,700.0,701.72,700.0,701.5,0.636,445.78119357,700.91382637
01:41:00,,,,,,,
01:42:00,701.26,701.26,701.26,701.26,0.141111,98.95549986,701.26
01:43:00,700.0,700.0,698.61,698.61,1.402,980.0979,699.07125535
01:44:00,699.17,699.17,695.23,697.83,48.31603768,33625.356524,695.94606965
01:45:00,698.35,699.85,698.35,699.85,0.7726,540.088972,699.05380792
01:46:00,699.85,702.17,699.85,700.06,16.71419946,11718.447606,701.10732101
01:47:00,700.06,700.06,700.01,700.01,18.11668014,12682.615599,700.05185833
01:48:00,700.48,700.48,700.47,700.47,0.22593016,158.25783848,700.47238703
01:49:00,700.02,700.02,696.05,696.05,3.93391188,2750.6183192,699.20689712
01:50:00,695.74,697.79,694.0,697.79,18.32019908,12722.172756,694.43419804
01:51:00,696.8,697.84,695.25,697.84,20.61270525,14366.88998,696.99196713
01:52:00,698.65,698.65,697.79,698.5,0.55266786,386.06992577,698.55686156
01:53:00,698.49,698.5,694.2,694.2,5.54561197,3863.4615744,696.67001502
01:54:00,695.7,698.0,695.7,698.0,6.87289824,4785.4781345,696.28240771
01:55:00,698.0,698.0,698.0,698.0,0.7251,506.1198,698.0
01:56:00,698.0,698.0,698.0,698.0,0.06702,46.77996,698.0
01:57:00,,,,,,,
01:58:00,700.58,701.32,693.0,698.35,55.66298709,38629.101108,693.98182037
01:59:00,696.41,699.25,695.0,699.25,1.58061176,1101.3039783,696.75805668
02:00:00,699.25,699.3,699.25,699.3,1.083,757.29325,699.25507849
02:01:00,699.7,700.21,699.25,700.21,2.162,1512.75183,699.70019889
02:02:00,700.21,700.9,700.21,700.9,1.01615291,711.53058972,700.21999909
02:03:00,700.21,700.96,700.21,700.96,2.0937307,1467.1147115,700.71796314
02:04:00,700.96,700.96,700.96,700.96,0.0599,41.987504,700.96
02:05:00,701.11,701.19,695.95,695.95,27.97641467,19585.140949,700.05900257
